Frame,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Right_Angle,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Left_Angle
144,0.356206328,0.713965833,0.113397263,0.574436426,0.337329984,0.307580024,79.88196798,0.677158713,0.732048154,0.948317826,0.666964173,0.76933372,0.369272232,72.48095043
145,0.356191695,0.710007906,0.11688596,0.55966723,0.348830968,0.294648349,80.94607748,0.675888002,0.729651988,0.947575927,0.651962876,0.764474213,0.361359924,73.74385925
146,0.356434047,0.708921432,0.122227624,0.554168284,0.350264698,0.294384837,82.1783904,0.675646484,0.725163341,0.946465313,0.641311646,0.758627057,0.353362203,74.08607569
147,0.356501579,0.708917797,0.125641674,0.550405383,0.35472703,0.295336246,82.54619127,0.675019026,0.724707723,0.945428729,0.631889701,0.75538528,0.347471207,75.19461127
148,0.35718137,0.708402276,0.132721275,0.543902397,0.357286721,0.289787292,84.76900954,0.674818158,0.725034416,0.943951249,0.619459331,0.751438498,0.342223376,76.64287434
149,0.357358009,0.70777148,0.136504531,0.53450644,0.36139825,0.283631474,86.24082526,0.674511969,0.724942446,0.941808581,0.608341575,0.748056233,0.337110579,78.02802127
150,0.357635885,0.707061589,0.143291682,0.532580376,0.366303265,0.281443447,87.54106791,0.672476649,0.724732339,0.939317703,0.603695512,0.742951334,0.332853168,78.45574081
151,0.357606828,0.707210183,0.150846735,0.520183027,0.377735198,0.269830048,89.94606373,0.670723677,0.723965466,0.934165299,0.590134025,0.730454803,0.320308149,79.87938782
152,0.357806683,0.706030548,0.155968726,0.518826246,0.376986057,0.269251496,91.31853939,0.669720232,0.720547855,0.92889154,0.586707234,0.726233184,0.31452471,80.64244143
153,0.358040273,0.705662549,0.154211923,0.513721228,0.378793418,0.267430156,90.91937805,0.669582248,0.720213056,0.92811811,0.584783673,0.725348353,0.313915581,80.82874845
154,0.35864687,0.705018342,0.153608084,0.515270829,0.378212333,0.266408712,90.71483192,0.669605136,0.720186055,0.926766098,0.585037947,0.726109385,0.313585639,81.25197782
